,Name,Price,Image,Link
1047,Rectangle Studs,Rs.790,//attirstore.com/cdn/shop/files/19A16E25-3657-4D98-9AFD-986BD99D9B70.jpg?v=1717054159&width=533,/products/rectangle-studs-may-24
1048,Finger Nail Ring,Rs.990,//attirstore.com/cdn/shop/files/1D71EF6B-D734-428F-8474-B2400D07AC07.jpg?v=1717018250&width=533,/products/finger-nail-ring-may-24
1049,Silver Signature Ring,"Rs.1,990",//attirstore.com/cdn/shop/files/05992822-4739-4AD5-B517-18E2D253111C.jpg?v=1717018883&width=533,/products/silver-signature-ring-may-24
1050,Pearl Ring,Rs.890,//attirstore.com/cdn/shop/files/6CCBD40E-7B14-4EF0-A535-143D95626F1A.jpg?v=1711537623&width=533,/products/pearl-ring-s24
1051,8-Pack Stone Ring Set,"Rs.1,290",//attirstore.com/cdn/shop/files/image_8103e704-7f73-45be-9863-df5d0b958dc7.jpg?v=1714390092&width=533,/products/8-pack-colorful-stone-rings-s24
1052,6-Pack Basic Rings,Rs.990,//attirstore.com/cdn/shop/files/25563B89-E285-4034-B826-DC1CBEF7F71A.jpg?v=1717018056&width=533,/products/6-pack-basic-rings-may-24
1053,Green Stone Jewelry Set,"Rs.2,990",//attirstore.com/cdn/shop/files/4C963541-A0D0-41E7-A1B5-43BC954FC073.png?v=1717018565&width=533,/products/green-stone-jewelry-set-may-24
1054,Twisted Bangle Bracelet,"Rs.1,090",//attirstore.com/cdn/shop/files/DB892F48-60AD-46C0-89DC-4DBF3281F7AF.jpg?v=1711539480&width=533,/products/twisted-bangle-bracelet-s24
1055,Heart Charm Chain Bracelet,"Rs.1,390",//attirstore.com/cdn/shop/files/image_ef4b4d2d-8313-4511-872e-041c827a5866.jpg?v=1714390151&width=533,/products/heart-charm-chain-bracelet-s24
1056,4-Pack Bracelet Set,"Rs.1,790",//attirstore.com/cdn/shop/files/51506312-7166-403B-A974-C089A3EE0E06.png?v=1717017889&width=533,/products/4-pack-bracelet-set-may-24
1057,3-Pack Bracelets,"Rs.1,190",//attirstore.com/cdn/shop/files/8FDA202C-093B-43FA-85A5-BDFAF6C28DBE.jpg?v=1711533133&width=533,/products/3-pack-bracelets-s24
1058,Link Chain Bracelet,"Rs.1,490",//attirstore.com/cdn/shop/files/039A9B6B-DBD3-4D82-8D69-09E56D35458C.jpg?v=1717018732&width=533,/products/link-chain-bracelet-may-24
1059,Cross Bracelet,"Rs.1,490",//attirstore.com/cdn/shop/files/BBC95D5D-E9E2-4896-923D-B0F9AA2458F8.jpg?v=1717018232&width=533,/products/cross-bracelet-may-24
1060,Triple Layered Bracelet,"Rs.1,290",//attirstore.com/cdn/shop/files/110F08AB-C285-44D4-9F9A-C7E901C7D92C.jpg?v=1717054051&width=533,/products/tripple-layered-bracelet-may-24
1061,Gold Open Cuff Cube Bracelet,"Rs.1,290",//attirstore.com/cdn/shop/files/2158F0B3-8C0E-4A1A-B285-D8F0616BF254.jpg?v=1717053421&width=533,/products/gold-open-cuff-cube-bracelet-may-24
1062,Rectangle Stone Bracelet,"Rs.1,990",//attirstore.com/cdn/shop/files/56FB1790-34C3-4648-A517-14A9D943C639.jpg?v=1717018837&width=533,/products/rectangle-stone-bracelet-may-24
1063,Heart Nosepin,"Rs.1,290",//attirstore.com/cdn/shop/files/DE8CBC1D-C874-4EE4-8927-EE6EF23C7F05.jpg?v=1717018639&width=533,/products/heart-nosepin-may-24
