Name,Price,Image,Link
CURVE JACKIE SHIRT,"Rs.7,450.00",https://lamaretail.com/cdn/shop/files/WAS24TP190-WHITE-CURVE-JACKIE-SHIRT_7_9cb7a276-d7d5-4d20-b1fb-4b2f7c2eaccf.jpg?v=1714653364&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/curve-jackie-shirt-was24tp190-white
WIDE LEG PANTS,"Rs.7,450.00",https://lamaretail.com/cdn/shop/files/WAS24BT026-SEA-GREEN-CULOTTE-PANTS_17.jpg?v=1715858138&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/wide-leg-pants-was24bt026-sea-green
TEE WITH SLEEVE PRINT,"Rs.7,450.00",https://lamaretail.com/cdn/shop/files/WAS24TP046-ITLIAN-CLAY-TEE-WITH-SLEEVE-PRINT_1.jpg?v=1718021975&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/tee-with-sleeve-print-was24tp046-italian-clay
BOXER WAIST LOW RISE PANTS,"Rs.7,450.00",https://lamaretail.com/cdn/shop/files/WAS24BT006-BLUE-BOXER-WAIST-LOW-RISE-PANTS_4.jpg?v=1718190644&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/boxer-waist-low-rise-pants-was24bt006-blue
PATCH POCKET SHIRT,"Rs.7,450.00",https://lamaretail.com/cdn/shop/files/WAS24TP022-BLACK-PATCH-POCKET-SHIRT_23.jpg?v=1710748927&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/patch-pocket-shirt-was24tp022-black
CROPPED PARTY TOP,"Rs.7,450.00",https://lamaretail.com/cdn/shop/files/WAS24TP031-GREEN-CROPPED-PARTY-TOP_28.jpg?v=1710915243&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/cropped-party-top-was24tp031-green
SHIRT WITH CONTRAST COLLAR,"Rs.7,450.00",https://lamaretail.com/cdn/shop/files/WAS24TP034-BLUE-SHIRT-WITH-CONTRAST-COLLAR_16.jpg?v=1715758255&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/shirt-with-contrast-collar-was24tp034-blue
CURVE WIDE PANTS,"Rs.7,450.00",https://lamaretail.com/cdn/shop/files/WAS24BT009-GREY-HIGH-WAIST-WIDE-LEG-PANTS_01_4d8f1ef0-0613-4b33-9a53-215c2dd060ce.jpg?v=1714372594&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/curve-wide-pants-was24bt009-grey
WIDE-NECK STRIPED TEE,"Rs.7,450.00", ,https://lamaretail.com/collections/woman-ss-24-all/products/wide-neck-striped-tee-was24tp017-white
CASUAL SHORTS,"Rs.7,450.00", ,https://lamaretail.com/collections/woman-ss-24-all/products/casual-shorts-was24bt029-light-blue
