,Name,Price,Image,Link
474,CROSSBODY ENVELOPE BAG,"Rs.8,950.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WCS24BG010-GREEN-CROSSBODY-ENVELOPE-BAG-6e8338_1.jpg?v=1710929887&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/crossbody-envelope-bag-wcs24bg010-green
475,FLAP SHOULDER BAG,"Rs.7,950.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WCS24BG011-BROWN-FLAP-SHOULDER-BAG-87461c_2.jpg?v=1710929562&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/flap-shoulder-bag-wcs24bg011-brown
476,HOLIDAY MAMA SLIDES,"Rs.6,950.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WFS24SL037-BLACK-HOLIDAY-MAMA-SLIDES_4.jpg?v=1708437545&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/holiday-mama-slides-wfs24sl037-black
477,SUN AND SAND SLIDES,"Rs.6,450.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WFS24SL013-BROWN-SUN-AND-SAND-SLIDES_6.jpg?v=1710918482&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/sun-and-sand-slides-wfs24sl013-brown
478,CROSSBODY ENVELOPE BAG,"Rs.8,950.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WCS24BG010-BROWN-CROSSBODY-ENVELOPE-BAG-873412_5.jpg?v=1710929817&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/crossbody-envelope-bag-wcs24bg010-brown
479,NOLA SHOULDER BAG,"Rs.10,950.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WCS24GB005-BROWN-NOLA-SHOULDER-BAG_17.jpg?v=1710413855&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/nola-shoulder-bag-wcs24gb005-brown
480,GO MAMA SANDALS,"Rs.7,450.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WFS24SD004-WHITE-GO-MAMA-SANDALS_6.jpg?v=1708437410&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/go-mama-sandals-wfs24sd004-white
481,EASY BREEZY PANTS,"Rs.4,450.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24BT102-CAMEL-EASY-BREEZY-PANTS_8.jpg?v=1715766068&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/easy-breezy-pants-was24bt102-camel
482,SAGE & VELVET,"Rs.7,450.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/SAGE_VELVET_e06e44e0-946f-439f-91c3-c4cf80486186.jpg?v=1707713057&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/sage-velvet-omgprf0013-beige
483,WORK TOTE,"Rs.8,950.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WCS24BG012-KHAKI-WORK-TOTE_3_56ef5481-bfee-4600-930c-32f164866343.jpg?v=1710929316&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/work-tote-wcs24bg012-khaki
484,TIE-AROUND PANTS,"Rs.6,450.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24BT016-KHAKI-TIE-AROUND-PANTS_20.jpg?v=1710915744&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/tie-around-pants-was24bt016-khaki
485,NIGHT GARDEN PRINTED BAND COLLAR SHIRT,"Rs.3,950.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24TP065-PRINT-NIGHT-GARDEN-PRINTED-BAND-COLLAR-SHIRT_10.jpg?v=1710760023&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/night-garden-printed-band-collar-shirt-was24tp065-multi
486,SHOULDER BUCKLE BAG,"Rs.10,950.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WCS24GB006-OFF-WHITE-SHOULDER-BUCKLE-BAG_11.jpg?v=1710414660&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/shoulder-buckle-bag-wcs24gb006-off-white
487,WIDE ANKLE PANTS,"Rs.3,950.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24BT113-BEIGE-WIDE-ANKLE-PANTS_9.jpg?v=1715765407&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/wide-ankle-pants-was24bt113-beige
488,BLACK FOREST PRINTED SHIRT,"Rs.3,950.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24TP087-PRINT-FOLKLORIC-FOREST-PRINTED-BUTTON-DOWN-SHIRT_3.jpg?v=1708595858&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/black-forest-printed-shirt-was24tp087-multi
489,ROUND NECK T-SHIRT,"Rs.2,450.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24TP001-BROWN-ROUND-NECK-T-SHIRT_6.jpg?v=1708436334&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/round-neck-t-shirt-was24tp001-brown
490,WIDE ANKLE PANTS,"Rs.3,950.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24BT113-ITLIAN-CLAY-WIDE-ANKLE-PANTS_9.jpg?v=1715765454&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/wide-ankle-pants-was24bt113-italian-clay
491,WIDE LEG EMBROIDERED PANTS,"Rs.3,950.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24BT072-WHITE-WIDE-LEG-EMBROIDERED-PANTS_8.jpg?v=1711006610&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/wide-leg-embroidered-pants-was24bt072-white
492,DAILY SLIDES,"Rs.5,950.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WFS24SL054-LIGHT-BEIGE-DAILY-SLIDES_3_6ffc7dd3-8bbc-4797-ac28-9828faa2f2b4.jpg?v=1708437891&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/daily-slides-wfs24sl054-light-beige
493,WIDE ANKLE PANTS,"Rs.3,950.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24BT113-COBLATE-BLUE-WIDE-ANKLE-PANTS_1.jpg?v=1715754093&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/wide-ankle-pants-was24bt113-cobalt-blue
494,STRAPPY WOVEN SLIDES,"Rs.5,450.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WFS24SL033-TAN-STRAPPY-WOVEN-SLIDES_3.jpg?v=1711100211&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/strappy-woven-slides-wfs24sl033-tan
495,BLOOM PRINTED PANTS,"Rs.2,950.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24BT091-MULTI-BLOOM-PRINTED-PANTS_3.jpg?v=1715765338&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/bloom-printed-pants-was24bt091-multi
496,PATCH POCKET DENIM SHIRT,"Rs.4,950.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24TP073-LIGHT-BLUE-PATCH-POCKET-DENIM-SHIRT_10.jpg?v=1708426009&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/patch-pocket-denim-shirt-was24tp073-mid-blue
